Job Number,Borough Name,Count Permits,First Permit Date,Current Date,Age,Permit Expiration Date,Sidewalk Shed/Linear Feet,Construction Material,Current Job Status,BIN Number,Community Board,Latitude Point,Longitude Point,House Number,Street Name,Borough Digit,Block,Lot,Applicant Business Name,ProCert,Source,activity,Commercial
B00872226-I1,BROOKLYN,,2023-06-07,2025-05-02,694,2025-05-14,129.0,,Permit Entire,3009621,307,40.65914,-73.99626,750,5 AVENUE,3,655,31,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00872450-I1,BROOKLYN,,2023-05-10,2025-05-02,722,2025-06-25,642.0,,Permit Entire,3335899,302,40.69029,-73.98604,422,FULTON STREET,3,156,7502,LOMBARDO PROFESSIONAL ENGINEERING,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00872612-I1,BROOKLYN,,2023-05-19,2025-05-02,713,2025-09-01,200.0,,Permit Entire,3148355,310,40.62957,-74.02225,7427,5 AVENUE,3,5931,1,OSPINO ENGINEERING PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00873142-I1,BROOKLYN,,2023-05-12,2025-05-02,720,2025-07-01,300.0,,Permit Entire,3336547,313,40.57369,-73.99368,2980,WEST   28 STREET,3,7052,34,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00873154-I1,BROOKLYN,,2023-05-12,2025-05-02,720,2025-07-01,1243.0,,Permit Entire,3339183,313,40.57369,-73.99368,2970,WEST   27 STREET,3,7052,34,MJE PROFESSIONAL SERVICES,1,DOB NOW,Local Law 11,Other Zoning Districts
B00874075-I1,BROOKLYN,,2023-05-20,2025-05-02,712,2025-08-30,34.0,,Permit Entire,3340291,302,40.69162,-73.99225,62,LIVINGSTON STREET,3,268,39,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00874360-I1,BROOKLYN,,2023-05-15,2025-05-02,717,2025-05-13,230.0,,Permit Entire,3208243,318,40.62712,-73.94092,3602,AVENUE J,3,7618,42,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00875684-I1,BROOKLYN,,2023-05-23,2025-05-02,709,2025-07-01,45.0,,Permit Entire,3429371,304,40.68457,-73.90621,99,GRANITE STREET,3,3457,49,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00877111-I1,BROOKLYN,,2023-09-11,2025-05-02,598,2025-07-01,160.0,,Permit Entire,3429923,317,40.63612,-73.94768,3002,FARRAGUT ROAD,3,5005,41,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00878044-I1,BROOKLYN,,2023-05-23,2025-05-02,709,2025-05-20,344.0,,Permit Entire,3416888,312,40.63378,-73.9905,4910,14 AVENUE,3,5642,33,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00879525-I1,BROOKLYN,,2023-08-02,2025-05-02,638,2025-07-22,375.0,,Permit Entire,3038668,316,40.67546,-73.90526,2435,PACIFIC STREET,3,1437,46,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00879590-I1,BROOKLYN,,2023-05-25,2025-05-02,707,2025-05-20,52.0,,Permit Entire,3337249,307,40.64429,-74.01076,506,51 STREET,3,800,9,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00880079-I1,BROOKLYN,,2023-06-10,2025-05-02,691,2025-06-04,51.0,,Permit Entire,3429383,312,40.63403,-73.98036,1652,42 STREET,3,5380,26,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00880267-I1,BROOKLYN,,2023-06-01,2025-05-02,700,2025-09-27,258.0,,Permit Entire,3395544,302,40.70476,-73.98018,11,HUDSON AVENUE,3,6,1,G. BLINN CONSULTING  LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00880327-I1,BROOKLYN,,2023-06-13,2025-05-02,688,2025-09-27,779.0,,Permit Entire,3842240,302,40.70464,-73.98098,15,HUDSON AVENUE,3,6,1,G. BLINN CONSULTING  LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00880332-I1,BROOKLYN,,2023-06-10,2025-05-02,691,2025-09-27,744.0,,Permit Entire,3819133,302,40.70451,-73.98098,19,HUDSON AVENUE,3,6,1,G. BLINN CONSULTING  LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00880574-I1,BROOKLYN,,2023-06-02,2025-05-02,699,2025-05-08,500.0,,Permit Entire,3246519,315,40.58018,-73.9435,131,IRWIN STREET,3,8752,35,AK CONSULTING SERVICES  INC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00881058-I1,BROOKLYN,,2023-05-31,2025-05-02,701,2025-05-17,48.0,,Permit Entire,3031612,308,40.67236,-73.945,222,BROOKLYN AVENUE,3,1242,49,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00881307-I1,BROOKLYN,,2023-05-31,2025-05-02,701,2025-05-25,100.0,,Permit Entire,3002644,302,40.69101,-73.99103,63,SCHERMERHORN STREET,3,269,16,PR,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00882362-I1,BROOKLYN,,2023-06-04,2025-05-02,697,2025-10-26,90.0,,Permit Entire,3000324,302,40.69271,-73.98694,365,JAY STREET,3,147,2,JOEL PHAGOO P.E. PLLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00882628-I1,BROOKLYN,,2023-06-08,2025-05-02,693,2026-04-14,117.0,,Permit Entire,3399966,301,40.711,-73.95773,167,HAVEMEYER STREET,3,2421,40,360 ENGINEERING P.C.,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00882873-I1,BROOKLYN,,2023-06-15,2025-05-02,686,2025-06-17,1414.0,,Permit Entire,3257104,313,40.58116,-73.9731,525,NEPTUNE AVENUE,3,7250,1,KZ ENGINEERING  PC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00882882-I1,BROOKLYN,,2023-06-15,2025-05-02,686,2025-06-17,1185.0,,Permit Entire,3257105,313,40.58116,-73.9731,2770,WEST    5 STREET,3,7250,1,KZ ENGINEERING  PC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00883190-I1,BROOKLYN,,2023-06-01,2025-05-02,700,2025-12-16,50.0,,Permit Entire,3103615,317,40.65492,-73.91238,1,BROOKDALE PLAZA,3,4718,1,PATUXENT ENGINEERING  LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00885464-I1,BROOKLYN,,2023-08-24,2025-05-02,616,2025-07-31,400.0,,Permit Entire,3058177,302,40.69346,-73.97021,134,VANDERBILT AVENUE,3,2046,84,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00887043-I1,BROOKLYN,,2023-06-08,2025-05-02,693,2026-01-27,631.0,,Permit Entire,3328035,305,40.66821,-73.89653,611,BLAKE AVENUE,3,3770,1,IKRA CONSULTING LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00887068-I1,BROOKLYN,,2023-06-13,2025-05-02,688,2026-01-24,602.0,,Permit Entire,3084284,305,40.66829,-73.89719,340,GEORGIA AVENUE,3,3769,30,IKRA CONSULTING LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00887795-I1,BROOKLYN,,2023-09-20,2025-05-02,589,2025-09-17,30.0,,Permit Entire,3388607,308,40.67799,-73.96342,649,WASHINGTON AVENUE,3,1147,7501,URBAN INTEGRATIONS LLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00888290-I1,BROOKLYN,,2023-06-15,2025-05-02,686,2025-11-19,82.0,,Permit Entire,3000398,302,40.69162,-73.98658,150,LAWRENCE STREET,3,151,37,PR,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00888571-I1,BROOKLYN,,2023-06-14,2025-05-02,687,2026-01-16,381.0,,Permit Entire,3328034,305,40.66866,-73.89842,550,SUTTER AVENUE,3,3768,18,IKRA CONSULTING LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00888581-I1,BROOKLYN,,2023-06-14,2025-05-02,687,2026-01-24,828.0,,Permit Entire,3084439,305,40.66683,-73.89623,391,GEORGIA AVENUE,3,3787,5,IKRA CONSULTING LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00890776-I1,BROOKLYN,,2024-03-26,2025-05-02,401,2026-03-13,267.0,,Permit Entire,3143523,307,40.6377,-74.01402,6025,6 AVENUE,3,5784,1,KZ ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00892396-I1,BROOKLYN,,2023-06-23,2025-05-02,678,2025-06-13,337.0,,Permit Entire,3002539,302,40.6926,-73.99346,150,JORALEMON STREET,3,264,17,MSM ENGINEERING SERVICES  PLLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00892466-I1,BROOKLYN,,2023-09-19,2025-05-02,590,2025-09-17,30.0,,Permit Entire,3388608,308,40.67805,-73.96345,647,WASHINGTON AVENUE,3,1147,7501,URBAN INTEGRATIONS LLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00893131-I1,BROOKLYN,,2023-07-05,2025-05-02,666,2025-06-10,120.0,,Permit Entire,3136685,312,40.63817,-73.99204,4515,12 AVENUE,3,5616,1,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00893602-I1,BROOKLYN,,2023-06-27,2025-05-02,674,2025-06-13,63.0,,Permit Entire,3245137,313,40.57525,-73.97985,1208,SURF AVENUE,3,8694,18,KZ ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00894574-I1,BROOKLYN,,2024-01-30,2025-05-02,457,2025-07-25,40.0,,Permit Entire,3130809,312,40.62645,-73.98925,5601,16 AVENUE,3,5492,1,DSENY ENGINEERING SERVICES  PC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
